ticker,year,phrase,count
TSLA,2015,new vehicle,12
TSLA,2015,battery cell,12
TSLA,2015,vehicle model,10
TSLA,2015,material adverse,10
TSLA,2015,long term,10
TSLA,2015,sell vehicle,10
TSLA,2015,raw material,10
TSLA,2015,price common,10
TSLA,2015,limit experience,9
TSLA,2015,resale value,9
TSLA,2015,share common,9
TSLA,2015,adverse effect,8
TSLA,2015,liability claim,8
TSLA,2015,increase cost,8
TSLA,2025,energy storage,15
TSLA,2025,electric vehicle,13
TSLA,2025,intellectual property,13
TSLA,2025,prospect financial,11
TSLA,2025,operate harm,10
TSLA,2025,supply chain,9
TSLA,2025,harm brand,9
TSLA,2025,energy generation,9
TSLA,2025,third party,9
TSLA,2025,battery cell,8
TSLA,2025,lithium ion,8
TSLA,2025,personal information,8
TSLA,2025,increase cost,7
TSLA,2025,storage system,7
TSLA,2025,ramp production,6
TSLA,2025,manufacture facility,6
TSLA,2025,require significant,6
TSLA,2025,long term,6
TSLA,2025,residual value,6
TSLA,2025,elon musk,6
